coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
whisejo99w,10,SAC,2,WNBA,SAC,WE,,6,N,0,,,,Sacramento Monarchs,946,2194,586,744,132,389,391,763,1154,540,645,289,584,98,994,2221,479,586,223,604,326,702,1028,627,704,262,576,147,0,0,0,0,0,0,12,22,34,7,10,5,12,6,14,6850,131654,ARCO Arena (II),-219.9025838292905
brownde01w,3,ORL,0,WNBA,CON,EA,,5,N,0,,,,Orlando Miracle,808,1914,493,646,145,461,320,595,915,446,669,295,456,113,804,1862,491,668,156,422,362,684,1046,519,637,251,541,108,0,0,0,0,0,0,16,16,32,10,6,6,10,13,8,6525,113837,Amway Arena,-112.39702820051298
brownde01w,5,SAS,2,WNBA,SAS,WE,,7,N,0,,,,San Antonio Silver Stars,812,1940,488,628,79,247,302,701,1003,493,628,272,513,106,888,2003,416,564,172,469,324,710,1034,575,624,280,492,129,0,0,0,0,0,0,9,25,34,6,11,3,14,6,16,6875,142717,AT&T Center,-289.09071822943247
dailesh99w,5,SAS,1,WNBA,SAS,WE,,7,N,0,,,,San Antonio Silver Stars,812,1940,488,628,79,247,302,701,1003,493,628,272,513,106,888,2003,416,564,172,469,324,710,1034,575,624,280,492,129,0,0,0,0,0,0,9,25,34,6,11,3,14,6,16,6875,142717,AT&T Center,-284.2830259217401
bryanjo01w,7,LAS,0,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,962,2195,540,726,111,377,350,852,1202,610,679,296,534,129,873,2184,534,721,196,570,336,746,1082,565,636,284,556,128,0,0,0,0,0,0,25,9,34,15,2,10,7,15,5,6825,141282,Staples Center,-27.79471760516799
chancva99w,1,HOU,0,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,293.6888851421909
chancva99w,2,HOU,0,WNBA,HOU,WE,,4,Y,0,L,,,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,-40.066746837822166
chancva99w,3,HOU,0,WNBA,HOU,WE,,2,Y,0,L,,,Houston Comets,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,0,0,0,0,0,0,24,8,32,14,2,10,6,16,5,6425,188648,Compaq Center,90.55109624632746
chancva99w,4,HOU,0,WNBA,HOU,WE,,2,Y,0,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,-5.536414377948859
chancva99w,5,HOU,0,WNBA,HOU,WE,,6,N,0,,,,Houston Comets,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,0,0,0,0,0,0,13,21,34,9,8,4,13,7,15,6850,137455,Toyota Center,-143.76029201701454
chancva99w,6,HOU,0,WNBA,HOU,WE,,3,Y,0,W,L,,Houston Comets,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,0,0,0,0,0,0,19,15,34,11,6,8,9,11,11,6875,120676,Toyota Center,-67.36331506850865
