playerID,pos,height,weight,college,age,year,stint_x,tmID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,franchID,confID,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won_x,lost_x,GP_y,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,coachID,stint_y,won_y,lost_y,award_x,award_y
braxtka01w,F-C,78.0,210.0,Georgia,40.0,7,0.0,DET,34.0,1.0,359.0,146.0,42.0,75.0,117.0,26.0,11.0,11.0,53.0,83.0,143.0,58.0,48.0,30.0,2.0,0.0,1.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
cashsw01w,F,73.0,162.0,Connecticut,44.0,7,0.0,DET,34.0,34.0,990.0,358.0,63.0,105.0,168.0,106.0,20.0,11.0,88.0,85.0,323.0,124.0,143.0,109.0,13.0,1.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
fordch01w,F,75.0,198.0,Louisiana Tech,42.0,7,0.0,DET,32.0,32.0,920.0,443.0,130.0,233.0,363.0,45.0,38.0,25.0,58.0,114.0,315.0,157.0,199.0,129.0,0.0,0.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
hollake01w,G,68.0,129.0,Georgia,48.0,7,0.0,DET,34.0,0.0,397.0,140.0,12.0,28.0,40.0,43.0,23.0,2.0,40.0,29.0,142.0,51.0,16.0,10.0,84.0,28.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
nolande01w,G-F,69.0,147.0,Georgia,44.0,7,0.0,DET,34.0,34.0,1088.0,468.0,32.0,121.0,153.0,124.0,47.0,11.0,86.0,79.0,425.0,172.0,100.0,85.0,113.0,39.0,1.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,WNBA Finals Most Valuable Player,
osipoir01w,C,77.0,190.0,,42.0,7,0.0,DET,2.0,0.0,12.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
paliesa01w,G,67.0,159.0,,42.0,7,0.0,DET,11.0,0.0,51.0,12.0,4.0,0.0,4.0,6.0,1.0,1.0,10.0,9.0,25.0,5.0,0.0,0.0,5.0,2.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
pierspl01w,F-C,74.0,181.0,Texas Tech,42.0,7,0.0,DET,34.0,0.0,565.0,220.0,44.0,88.0,132.0,24.0,18.0,14.0,37.0,84.0,180.0,82.0,80.0,56.0,3.0,0.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
powelel01w,G,68.0,150.0,Louisiana State,48.0,7,2.0,DET,11.0,0.0,120.0,14.0,7.0,6.0,13.0,15.0,3.0,0.0,9.0,9.0,16.0,3.0,14.0,8.0,2.0,0.0,0.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
rileyru01w,C,77.0,198.0,Notre Dame,44.0,7,0.0,DET,34.0,34.0,875.0,249.0,36.0,129.0,165.0,52.0,18.0,49.0,54.0,110.0,252.0,115.0,18.0,16.0,9.0,3.0,2.0,DET,EA,Y,Detroit Shock,919.0,2220.0,553.0,746.0,136.0,414.0,406.0,880.0,1286.0,572.0,711.0,213.0,537.0,137.0,2527.0,840.0,2165.0,529.0,702.0,175.0,561.0,324.0,760.0,1084.0,474.0,733.0,275.0,506.0,108.0,2384.0,23.0,11.0,34.0,14.0,3.0,9.0,8.0,14.0,6.0,6825.0,159453.0,The Palace of Auburn Hills,laimbbi01w,0.0,23.0,11.0,,
