tmID,year,average_powerRanking,average_PER,average_postPowerRanking,average_postPER,coachesPowerRanking,playoff,confID,rank,firstRound,semis,finals,o_dreb,powerRanking2,offensiveFieldGoalPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
CLE,2,26.22791873688178,11.024104730286586,16.06351156063422,5.296164735272898,139.28571428571428,N,EA,1,5,0,0,662,267.9162049360989,62.7702052918164,33.46201324206039,37.65176784523015,44.69520707305723,23.62173827741809,14.255765199161427,15.848785985042516,6.3676039948049805,32.731736171882694,4.13569401270442,17.98528058877645,45.57204404021063,0.0,75.24271844660194,86.71875,58.53658536585365,76.33136094674556,44.51245523357903
CLE,3,27.848554355424103,7.51772044814785,0.0,0.0,-40.71428571428572,Y,EA,7,0,0,0,674,81.96303641147853,50.00916328390318,39.09774436090225,39.919946631087385,35.597952536063275,35.295271728467725,14.255765199161427,21.683229177338383,68.76902293331591,50.025122531592736,10.33923503176105,55.51977920883166,30.923887027285783,33.060773480662995,25.728155339805824,20.3125,41.95121951219512,28.99408284023668,45.36115713137767
CON,4,31.59996258652286,10.070434021888694,22.835506186903903,11.364338575243908,72.14285714285717,Y,EA,3,10,5,0,762,159.76098616404045,43.8180137221341,38.20617116561896,53.88925950633753,39.32061423918102,54.30645477731999,29.559748427672957,36.727794283372624,41.15155660560514,36.258880790156326,54.15596702257063,51.7939282428703,9.621828626136912,45.01657458563538,54.36893203883496,56.25,54.634146341463406,44.5266272189349,22.22100971220524
CON,5,32.51433230000006,10.762642349225992,25.858536558481468,10.503920381327502,72.14285714285717,Y,EA,1,10,10,5,724,172.80567623057283,59.0200135827424,35.55408864774357,43.21547698465642,58.6784550953932,37.66921718658034,19.49685534591196,32.71181231431204,63.33216314797699,82.25350885924748,29.28774158670091,56.2097516099356,28.76974629009096,35.73480662983427,54.36893203883496,56.25,54.634146341463406,74.55621301775147,27.9669844545193
CON,6,29.488240304472257,8.956277487641835,24.53631868445306,7.332336680685207,129.28571428571428,Y,EA,1,10,10,10,788,315.0709534030018,82.89141769278552,58.90665000302368,57.09139426284189,59.05072126570495,42.06395919168136,42.30607966457024,44.10408769593279,26.112295664534425,23.36651403543697,32.53142316529261,30.45078196872125,2.7285782671134564,30.430939226519342,85.43689320388349,81.24999999999999,85.85365853658537,68.34319526627219,31.898989097330382
CON,7,28.330562818338738,11.786970696853228,18.954313382198468,6.116873700850775,145.0,Y,EA,1,10,5,0,926,334.9128057295151,74.18460046763438,53.08270676691728,90.82054703135424,80.26989297347605,12.556405728860106,57.73584905660378,61.23348017621143,31.4078736567481,36.23505104864081,48.74983105825113,42.59429622815088,21.110579224509333,45.72375690607737,85.43689320388349,81.24999999999999,85.85365853658537,80.76923076923076,33.95849247527306
CON,8,29.878453690761877,1.8999904254760975,21.435737363515905,9.161316519135116,23.571428571428584,Y,EA,3,5,0,0,868,192.6363806703289,61.91337133386965,52.87081339712915,81.00066711140757,76.17496510004653,47.40043162644692,59.74842767295597,60.57780965065053,53.3747115229115,53.59347003782597,54.37221246114342,62.09751609935604,7.324078506462422,61.28176795580112,54.36893203883496,43.74999999999999,70.24390243902438,49.70414201183432,38.61816847055089
CON,9,29.351423380082245,12.481340389296967,16.999887762198018,6.125658452443092,123.21428571428572,N,EA,2,5,0,0,869,222.21984183432144,54.31515739263282,44.49801634130169,84.62975316877915,71.70777105630522,43.63350990778889,20.167714884696014,61.80719188607726,49.78641679610057,35.990411847437244,58.913366671171794,52.16191352345905,21.87649593106749,56.68508287292818,66.01941747572816,75.0,54.634146341463406,68.34319526627219,35.87067588615192
DET,1,28.431986916261376,12.042754718292246,0.0,0.0,17.85714285714286,N,EA,5,0,0,0,644,76.62165262486408,69.68503898495794,3.32424467762815,43.54903268845896,44.69520707305723,79.98822836962918,17.819706498951785,44.324352013113405,98.23290099684854,72.51032347973515,22.516556291390728,48.87304507819688,62.66156055528962,59.92265193370167,42.23300970873786,46.87499999999999,41.95121951219512,46.745562130177504,24.62971597503993
DET,2,29.946187502208275,9.085290857034185,0.0,0.0,-17.85714285714286,N,EA,7,0,0,0,621,35.61134666795288,37.52935915084174,62.52111760883688,34.476317545030014,31.247091670544435,46.96880517951736,13.542976939203356,24.469828910972232,100.0,78.94860114063539,24.814164076226515,19.549218031278752,30.923887027285783,45.17679558011051,25.728155339805824,33.59374999999999,25.36585365853658,28.99408284023668,25.651035207984048
