playerID,pos,height,weight,college,collegeOther,age,year,stint,tmID,playerPowerRanking,PER,postPlayerPowerRanking,postPER,countAwards
bakersh01w,G,68.0,125,Georgia,,41.0,10,0,DET,19.363992061763454,29.98709090909091,0.0,0.0,0.0
balesal01w,C,79.0,218,Duke,,38.0,8,0,IND,23.02441403053301,16.547644970414197,1.6548360816996959,-10.642,0.0
balesal01w,C,79.0,218,Duke,,38.0,9,2,ATL,37.56603825624702,12.414678663239075,0.0,0.0,0.0
balesal01w,C,79.0,218,Duke,,38.0,9,1,IND,18.74264900851826,13.043,0.0,0.0,0.0
banchrh01w,C,75.0,185,Washington,,50.0,1,0,SAC,7.925164577818088,-0.10352380952380916,0.0,0.0,0.0
baranel01w,F,77.0,182,Academy of Sport Moscow,,51.0,2,0,MIA,51.133730601411166,14.738979674796743,40.48712125221787,13.65371428571429,0.0
baranel01w,F,77.0,182,Academy of Sport Moscow,,51.0,4,0,NYL,41.230998548364276,13.500651764705879,0.0,0.0,0.0
baranel01w,F,77.0,182,Academy of Sport Moscow,,51.0,5,0,NYL,55.070782819603224,15.335180343511444,41.42870063455318,10.126474025974026,0.0
baranel01w,F,77.0,182,Academy of Sport Moscow,,51.0,6,0,NYL,49.44188371080929,13.077956977964325,34.155195681612334,7.7596271186440715,0.0
barksla01w,G,70.0,156,North Carolina,,44.0,2,0,POR,9.007073182020711,-0.37120000000000075,0.0,0.0,0.0
barksla01w,G,70.0,156,North Carolina,,44.0,3,0,POR,22.583019826995745,7.719073684210522,0.0,0.0,0.0
barksla01w,G,70.0,156,North Carolina,,44.0,4,0,SAS,16.726659141763847,3.1402261904761914,0.0,0.0,0.0
barnead01w,F,71.0,165,Arizona,,46.0,1,0,CLE,10.883073955362326,17.100222222222225,5.195123206156396,12.814000000000002,0.0
barnead01w,F,71.0,165,Arizona,,46.0,2,0,CLE,8.67677487115386,33.538999999999994,0.0,0.0,0.0
barnead01w,F,71.0,165,Arizona,,46.0,3,0,SEA,28.785073904761834,8.023176470588236,26.9470889430363,5.241119999999996,0.0
barnead01w,F,71.0,165,Arizona,,46.0,4,0,SEA,32.196388864751654,8.541707070707071,0.0,0.0,0.0
barnead01w,F,71.0,165,Arizona,,46.0,5,0,SEA,22.910582890804093,7.734751243781094,9.441030765411744,7.564076923076925,0.0
barnequ01w,C,77.0,185,Indiana,,47.0,1,0,SEA,35.374985924096926,5.629387234042554,0.0,0.0,0.0
barnequ01w,C,77.0,185,Indiana,,47.0,2,0,SEA,20.46751009456344,9.013572052401743,0.0,0.0,0.0
barnequ01w,C,77.0,185,Indiana,,47.0,3,0,PHO,11.668113639817754,-1.8519999999999974,0.0,0.0,0.0
batkosu01w,C,76.0,203,,,42.0,6,0,SEA,27.979522992481268,13.518067245119303,17.897670615734466,4.215720930232557,0.0
batkosu01w,C,76.0,203,,,42.0,10,0,SEA,13.073613902464587,3.8704353741496624,32.71162392677037,14.44146511627908,0.0
batteja01w,F,73.0,163,Notre Dame,,40.0,6,0,MIN,1.7888657305527271,-5.408065217391304,0.0,0.0,0.0
