year,tmID,confID,rank,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,min,arena,playoff,powerRanking2
7,SEA,WE,4,L,,,327,821,322,709,6800,KeyArena at Seattle Center,Y,117.60522846585565
8,SEA,WE,4,L,,,344,820,333,761,6825,KeyArena at Seattle Center,Y,114.78748238223503
9,SEA,WE,2,L,,,340,822,332,760,6800,KeyArena at Seattle Center,Y,128.3144127428236
1,UTA,WE,5,,,,348,732,313,598,6400,EnergySolutions Arena,Y,124.53219444291989
2,UTA,WE,3,L,,,295,775,344,630,6475,EnergySolutions Arena,Y,123.38233448270425
1,WAS,EA,4,L,,,300,646,299,612,6400,Verizon Center,N,108.4173065688482
2,WAS,EA,8,,,,356,699,331,737,6500,Verizon Center,Y,66.2642908091125
3,WAS,EA,3,W,,,330,708,309,680,6450,Verizon Center,N,115.52541747205595
4,WAS,EA,7,,,,382,703,334,781,6875,Verizon Center,Y,78.87007022382872
5,WAS,EA,4,L,,,337,726,336,770,6850,Verizon Center,N,97.48401908269841
6,WAS,EA,5,,,,266,677,267,757,6900,Verizon Center,Y,84.3163061883985
7,WAS,EA,4,L,,,330,770,321,720,6850,Verizon Center,N,119.49989038544891
8,WAS,EA,5,,,,335,783,383,825,6900,Verizon Center,N,96.61256824314525
9,WAS,EA,6,,,,362,770,306,787,6825,Verizon Center,Y,71.93429459634827
