year,tmID,confID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,attend,arena
4,HOU,WE,Y,828,1916,473,600,115,344,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10,150203,Compaq Center
5,HOU,WE,N,798,1933,458,615,123,358,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,1055,539,655,258,471,129,2211,13,21,34,9,8,4,13,7,15,137455,Toyota Center
6,HOU,WE,Y,860,1920,527,690,62,205,960,467,581,246,425,105,2309,848,1944,419,559,148,423,961,541,685,197,481,111,2263,19,15,34,11,6,8,9,11,11,120676,Toyota Center
7,HOU,WE,Y,928,2098,482,678,169,472,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,1124,526,705,298,519,89,2449,18,16,34,12,5,6,11,11,9,130586,Toyota Center
8,HOU,WE,N,915,2149,554,721,126,365,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,1063,588,677,310,568,160,2628,13,21,34,7,10,6,11,10,12,138816,Toyota Center
9,HOU,WE,N,923,2213,563,736,152,481,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,1092,542,744,313,555,165,2606,17,17,34,13,4,4,13,10,10,111951,Toyota Center
1,IND,EA,N,796,1838,428,569,193,521,932,501,642,271,518,126,2213,839,1868,503,669,109,358,954,528,612,267,476,75,2290,9,23,32,5,11,4,12,7,14,180270,Conseco Fieldhouse
2,IND,EA,N,762,1822,472,591,157,446,935,458,600,242,491,118,2153,853,1899,412,583,131,367,966,565,616,256,466,140,2249,10,22,32,7,9,3,13,7,14,138922,Conseco Fieldhouse
3,IND,EA,Y,731,1825,455,580,180,543,948,447,559,268,438,100,2097,804,1817,359,503,162,464,932,507,647,226,470,145,2129,16,16,32,10,6,6,10,12,9,134945,Conseco Fieldhouse
4,IND,EA,N,839,2011,449,563,210,600,988,539,668,299,474,121,2337,837,1908,490,638,157,421,986,570,631,227,512,170,2321,16,18,34,11,6,5,12,12,12,141778,Conseco Fieldhouse
5,IND,EA,N,791,2011,450,580,166,481,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,969,514,603,268,466,162,2245,15,19,34,10,7,5,12,8,12,128989,Conseco Fieldhouse
6,IND,EA,Y,784,1958,452,595,150,468,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,990,435,644,234,558,113,2133,21,13,34,14,3,7,10,14,6,142494,Conseco Fieldhouse
7,IND,EA,Y,873,2144,518,676,171,551,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,1061,507,685,259,617,105,2316,21,13,34,12,5,9,8,12,8,122768,Conseco Fieldhouse
8,IND,EA,Y,907,2167,478,617,188,546,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,1164,475,663,280,610,114,2370,21,13,34,12,5,9,8,12,8,133915,Conseco Fieldhouse
9,IND,EA,Y,876,2179,495,656,226,662,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,1171,477,659,294,608,130,2457,17,17,34,11,6,6,11,12,8,130941,Conseco Fieldhouse
10,IND,EA,Y,890,2212,613,746,213,637,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,1167,498,700,271,638,116,2501,22,12,34,14,3,8,9,17,5,134964,Conseco Fieldhouse
1,LAS,WE,Y,861,1956,545,693,150,452,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,978,445,650,243,485,105,2169,28,4,32,15,1,13,3,17,4,105005,Staples Center
2,LAS,WE,Y,916,2031,449,594,160,436,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,921,538,591,234,453,114,2166,28,4,32,16,0,12,4,19,2,148446,Staples Center
3,LAS,WE,Y,891,2002,476,645,194,515,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,959,508,623,275,453,111,2235,25,7,32,12,4,13,3,17,4,186410,Staples Center
4,LAS,WE,Y,894,2140,537,678,174,528,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,1105,572,654,241,468,127,2432,24,10,34,11,6,13,4,17,7,157934,Staples Center
5,LAS,WE,Y,904,2069,530,722,157,414,1121,626,731,262,529,148,2495,815,2095,557,761,174,511,1066,532,704,288,523,114,2361,25,9,34,15,2,10,7,16,6,177269,Staples Center
6,LAS,WE,Y,873,2042,456,630,124,387,1004,551,737,264,492,136,2326,818,1955,527,709,182,519,1041,567,654,247,544,115,2345,17,17,34,11,6,6,11,12,10,150521,Staples Center
7,LAS,WE,Y,962,2195,540,726,111,377,1202,610,679,296,534,129,2575,873,2184,534,721,196,570,1082,565,636,284,556,128,2476,25,9,34,15,2,10,7,15,5,141282,Staples Center
8,LAS,WE,N,940,2305,493,627,160,456,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,1179,616,605,290,550,137,2708,10,24,34,5,12,5,12,6,16,147810,Staples Center
9,LAS,WE,Y,954,2248,539,717,151,485,1282,613,713,251,608,216,2598,888,2310,562,751,185,547,1127,513,717,303,523,141,2523,20,14,34,12,5,8,9,12,8,161639,Staples Center
10,LAS,WE,Y,973,2264,435,550,152,512,1248,587,583,217,568,166,2533,903,2262,479,623,213,636,1050,516,622,300,463,115,2498,18,16,34,11,6,7,10,11,9,176587,Staples Center
1,MIA,EA,N,647,1774,452,664,85,310,960,415,707,272,524,88,1831,715,1676,454,627,117,315,923,416,661,247,528,118,2001,13,19,32,9,7,4,12,9,12,127721,AmericanAirlines Arena
2,MIA,EA,Y,754,1826,356,469,93,295,943,467,602,300,448,153,1957,679,1725,420,588,120,395,968,388,538,259,512,87,1898,20,12,32,10,6,10,6,14,7,141717,AmericanAirlines Arena
3,MIA,EA,N,774,1856,369,529,129,389,869,476,643,274,435,96,2046,745,1722,469,614,129,382,971,446,588,222,515,104,2088,15,17,32,9,7,6,10,11,10,141252,AmericanAirlines Arena
1,MIN,WE,N,770,1831,449,592,204,571,870,495,690,237,497,63,2193,755,1758,514,702,164,481,977,472,707,275,547,130,2188,15,17,32,8,8,7,9,5,16,116638,Target Center
2,MIN,WE,N,671,1810,559,727,176,552,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,1016,511,719,259,470,126,2156,12,20,32,6,10,6,10,9,12,120607,Target Center
3,MIN,WE,N,727,1775,383,578,166,500,959,466,617,226,529,102,2003,747,1807,469,613,141,389,914,495,618,273,465,117,2104,10,22,32,7,9,3,13,6,15,139874,Target Center
4,MIN,WE,Y,875,1978,450,624,180,524,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10,120253,Target Center
5,MIN,WE,Y,767,1900,454,640,177,542,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,1036,508,676,333,502,133,2190,18,16,34,11,6,7,10,12,10,125097,Target Center
6,MIN,WE,N,801,1946,437,601,172,492,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,1055,537,665,275,487,144,2288,14,20,34,11,6,3,14,9,13,113447,Target Center
7,MIN,WE,N,945,2211,485,681,148,419,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,1204,625,633,308,438,124,2735,10,24,34,8,9,2,15,6,14,109522,Target Center
8,MIN,WE,N,971,2355,531,674,163,496,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,1118,565,645,279,529,147,2752,10,24,34,7,10,3,14,8,14,121019,Target Center
9,MIN,WE,N,991,2303,652,864,133,413,1145,557,751,309,472,131,2767,974,2220,612,809,161,486,1212,587,748,248,579,140,2721,16,18,34,9,8,7,10,8,12,118463,Target Center
10,MIN,WE,N,949,2257,591,766,242,695,1087,509,693,301,513,128,2731,1041,2260,550,711,195,510,1165,589,694,250,543,140,2827,14,20,34,9,8,5,12,7,13,128127,Target Center
